"author","year","n1","n2","n","smd","se_smd","z","p","crit","sig_fixed","sig_005","sig_p1.1","sig_p1.2","sig_p1.5","sig_p2"
"Stasinopoulous","2006",25,25,50,1.02,0.300672579394929,3.39239448456736,0.000692846112846069,1.85957562946955,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Stasinopoulous","2017",11,12,23,0.86,0.436257590320202,1.97131240597735,0.0486881532060297,0.963905314762996,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Tiwari","2018",20,20,40,1.65,0.366102786113408,4.50693101114198,6.57720064959237e-06,3.2345598398547,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Tyler","2010",11,10,21,1.29,0.48013593854295,2.68673910125269,0.00721532864027124,1.61980988450002,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Buchbinder","2002",80,81,161,0.04,0.157640882883994,0.253741283785092,0.799695437714218,0.0439886910393227,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Haake","2003",126,129,255,0.09,0.125316911364529,0.718179206780821,0.472646797078046,0.135241158004118,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Speed","2003",46,42,88,0.18,0.213852157233443,0.841702989245557,0.399954224624675,0.204676399125859,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Theodore","2004",73,73,146,0.24,0.166115985227025,1.44477366023505,0.148521471866837,0.382659765156618,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kudo","2006",53,52,105,0.4,0.197130917212333,2.02910839992264,0.0424472505288993,0.678882693500541,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Gerdesmeyer","2008",125,118,243,0.29,0.129025662326051,2.24761489126995,0.0246007571921974,0.67448327213572,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ibrahim","2010",25,25,50,3.2,0.427083130081252,7.49268649265355,6.74779489301183e-14,7.75224877022476,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Ibrahim","2016",25,25,50,5.01,0.575326863617544,8.70809328891422,3.09028933100533e-18,10.3062448499902,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Caner","2021",16,21,37,0.71,0.341952057723316,2.07631445392408,0.0378648773571848,0.906620254065423,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Clark","2000",20,22,42,0.082,0.309086708018305,0.265297723495582,0.790780118087063,0.0628025891780593,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Herrington and Al-Sherhi","2007",15,15,30,3.438,0.574744058980459,5.98179301948537,2.20694603698585e-09,5.86018802327634,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"van Linschoten","2009",65,66,131,0.342,0.176018629744259,1.9429761525635,0.0520190397386072,0.606364272586283,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Song","2009",30,30,60,0.922,0.271570801081412,3.39506307868349,0.000686127905795676,1.77914838023981,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Atkinson","2008",30,30,60,0.64,0.264726273724389,2.417591540862,0.0156236036369378,1.01578467356249,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bang and Deyle","2000",28,24,52,0.42,0.281206518820432,1.4935642379905,0.135289552485789,0.506255272176657,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bialoszweki and Zaborowski","2011",15,15,30,0.91,0.383581803530877,2.37237530983857,0.0176741275463114,1.18653902624528,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
